,index,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
5146,4399.0,1.7666,0.0958,1.0,0.0798,1.2018,2.0082,1.0082,2.2526,1.2526,25.5466,2.0219,25.2058,2.0082,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,24.0,10.0,0.0,0.0105,0.0086,0.0009,2.0,4.7859,1.272,-0.2451,1.3369,0.0287,1.3668,1.004e-05,1.001,0.0007,2.7654,11.0,0.073,1.0019,0.1668,2.4439,0.0057,0.9783,0.0545,1.9582,0.0,0.0,0.0,-0.1421,25.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.0246,0.0,0.0106,0.0,0.0
5147,4400.0,1.766,0.0958,1.0,0.0795,1.2009,2.0081,1.0081,2.2529,1.2529,25.6647,2.0266,25.2012,2.008,100.0,0.0,0.0,0.0,23.875,0.0,25.0,0.0,24.875,0.0,24.0,10.0,0.0,0.0099,0.0086,0.0009,2.0,4.7736,1.2715,-0.2658,1.3346,0.0252,1.3664,1.004e-05,1.001,0.0007,2.7659,11.0,0.0754,1.002,0.1564,2.4162,0.0066,1.0397,0.0526,1.9431,0.0,0.0,0.0,-0.1419,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0244,0.0,0.0102,0.0,0.0
5148,4401.0,1.7639,0.0955,1.0,0.0794,1.2007,2.0082,1.0082,2.2532,1.2532,25.612,2.0245,25.187,2.0075,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0107,0.0086,0.0009,2.0,4.6913,1.2685,-0.3182,1.3289,0.0225,1.3661,1.005e-05,1.0011,0.0007,2.7669,11.0,0.0729,1.0019,0.1793,2.4754,0.0066,1.0386,0.0631,2.0217,0.0,0.0,0.0,-0.1422,24.0,24.0,37.0,36.0,16.0,0.0,0.0,0.0,0.0,-0.0249,0.0,0.0105,0.0,0.0
5149,4402.0,1.764,0.0955,1.0,0.0792,1.2001,2.0084,1.0084,2.2535,1.2535,25.4988,2.02,25.1728,2.0069,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0093,0.009,0.0009,2.0,4.6647,1.2675,-0.2994,1.331,0.0179,1.3656,1.004e-05,1.0008,0.0007,2.7673,11.0,0.065,1.0017,0.1584,2.4216,0.0062,1.015,0.0608,2.0056,0.0,0.0,0.0,-0.1423,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0246,0.0,0.0105,0.0,0.0
5150,4403.0,1.7649,0.0956,1.0,0.0794,1.2005,2.0083,1.0083,2.2528,1.2528,25.4159,2.0166,25.1848,2.0074,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0088,0.0094,0.0009,2.0,4.6929,1.2686,-0.2928,1.3317,0.0134,1.3651,1.003e-05,1.0008,0.0007,2.7683,11.0,0.0631,1.0017,0.1236,2.3137,0.0061,1.0103,0.0595,1.9961,0.0,0.0,0.0,-0.1423,24.0,24.0,37.0,36.0,16.0,0.0,0.0,0.0,0.0,-0.025,0.0,0.01,0.0,0.0
5151,4404.0,1.766,0.0958,1.0,0.0792,1.2001,2.0082,1.0082,2.2527,1.2527,25.5119,2.0205,25.2046,2.0082,100.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,24.875,0.0,24.0,10.0,0.0,0.0083,0.0088,0.0008,2.0,4.618,1.2658,-0.3391,1.3266,0.0137,1.3651,1.003e-05,1.0008,0.0007,2.7655,11.0,0.0635,1.0017,0.1445,2.3816,0.0062,1.0145,0.0524,1.9412,0.0,0.0,0.0,-0.1425,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0244,0.0,0.0101,0.0,0.0
5152,4405.0,1.766,0.0958,1.0,0.0791,1.1997,2.0077,1.0077,2.2533,1.2533,25.6641,2.0266,25.1998,2.008,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,25.0,0.0,23.875,10.0,0.0,0.0089,0.0082,0.0008,2.0,4.5933,1.2649,-0.3123,1.3296,0.017,1.3655,1.003e-05,1.0008,0.0007,2.7652,11.0,0.0638,1.0017,0.1195,2.2991,0.0064,1.0311,0.0525,1.9424,0.0,0.0,0.0,-0.1424,24.0,24.0,37.0,36.0,15.0,0.0,0.0,0.0,0.0,-0.0244,0.0,0.0104,0.0,0.0
5153,4406.0,1.766,0.0957,1.0,0.0792,1.2001,2.0082,1.0082,2.2535,1.2535,25.6305,2.0252,25.1779,2.0071,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.0,0.0,24.0,10.0,0.0,0.0075,0.0081,0.0008,2.0,4.6432,1.2667,-0.2332,1.3382,0.0272,1.3666,1.003e-05,1.0008,0.0007,2.7659,11.0,0.0627,1.0017,0.1205,2.3027,0.0063,1.0194,0.0534,1.949,0.0,0.0,0.0,-0.1423,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0247,0.0,0.0104,0.0,0.0
5154,4407.0,1.7649,0.0956,1.0,0.0793,1.2003,2.0086,1.0086,2.2534,1.2534,25.532,2.0213,25.1818,2.0073,100.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,25.125,0.0,23.875,10.0,0.0,0.0066,0.0086,0.0009,2.0,4.668,1.2677,-0.2846,1.3326,0.0228,1.3661,1.004e-05,1.0009,0.0007,2.766,11.0,0.0631,1.0017,0.1151,2.2829,0.0057,0.9778,0.0691,2.061,0.0,0.0,0.0,-0.1423,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0245,0.0,0.0101,0.0,0.0
5155,4408.0,1.765,0.0956,1.0,0.0793,1.2003,2.0083,1.0083,2.2532,1.2532,25.4253,2.017,25.1799,2.0072,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0066,0.0087,0.0008,2.0,4.5834,1.2645,-0.3111,1.3297,0.0186,1.3657,1.004e-05,1.0008,0.0007,2.7666,11.0,0.0637,1.0017,0.114,2.2786,0.0056,0.9718,0.0614,2.0101,0.0,0.0,0.0,-0.1427,24.0,24.0,36.0,36.0,16.0,0.0,0.0,0.0,0.0,-0.0248,0.0,0.0106,0.0,0.0
5156,4409.0,1.7638,0.0955,1.0,0.0793,1.2004,2.0079,1.0079,2.253,1.253,25.4794,2.0192,25.1919,2.0077,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,24.875,0.0,24.0,10.0,0.0,0.0068,0.0086,0.0009,2.0,4.5761,1.2642,-0.3191,1.3288,0.0186,1.3657,1.004e-05,1.0009,0.0007,2.7677,11.0,0.0658,1.0018,0.1068,2.2505,0.0064,1.0287,0.0555,1.9663,0.0,0.0,0.0,-0.1427,24.0,24.0,36.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.0245,0.0,0.0103,0.0,0.0
5157,4410.0,1.7607,0.0951,1.0,0.0793,1.2003,2.0077,1.0077,2.2532,1.2532,25.6503,2.026,25.1962,2.0078,100.0,0.0,0.0,0.0,23.875,0.0,25.0,0.0,24.875,0.0,24.0,10.0,0.0,0.0082,0.0084,0.0008,2.0,4.4995,1.2613,-0.3424,1.3263,0.015,1.3653,1.004e-05,1.0009,0.0007,2.7681,11.0,0.0665,1.0018,0.0878,2.1652,0.0064,1.031,0.0517,1.9356,0.0,0.0,0.0,-0.1424,24.0,24.0,36.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0245,0.0,0.0104,0.0,0.0
5158,4411.0,1.7629,0.0954,1.0,0.0794,1.2005,2.0081,1.0081,2.2535,1.2535,25.6444,2.0258,25.179,2.0072,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,24.875,0.0,24.0,10.0,0.0,0.0101,0.0083,0.0008,2.0,4.5966,1.265,-0.2578,1.3355,0.0107,1.3648,1.004e-05,1.0009,0.0007,2.7691,11.0,0.0671,1.0018,0.0971,2.2091,0.0061,1.0105,0.0717,2.0773,0.0,0.0,0.0,-0.1426,24.0,24.0,36.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0243,0.0,0.0102,0.0,0.0
