CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2028,9.993,0
1.2029,9.862,0
1.2027,9.7934,0
1.2024,9.6045,0
1.2034,9.6905,0
1.2033,9.9892,0
1.2034,10.0294,0
1.2034,9.9647,0
1.2033,9.9657,0
1.2035,9.8338,0
1.2031,9.8633,0
1.2035,10.0513,0
1.2037,9.9921,0
1.2033,9.9501,0
1.2026,9.9552,0
1.2027,10.0632,0
1.2028,10.12,0
1.2032,9.9978,0
1.2024,9.9736,0
1.2038,9.8592,0
1.2032,9.8393,0
1.203,9.8185,0
1.2031,9.6992,0
1.2033,9.5993,0
1.2032,9.6309,0
1.2032,9.6349,0
1.2034,9.6519,0
1.2029,9.5996,0
1.2027,9.495,0
1.2028,9.6178,0
1.2028,9.7138,0
1.2025,9.813,0
1.2024,9.9796,0
1.203,9.8613,0
1.2031,9.8362,0
1.2034,9.8048,0
1.2027,9.8394,0
1.2035,9.7538,0
1.2035,9.806,0
1.2035,9.7359,0
1.203,9.7904,0
1.2037,9.7833,0
1.2036,9.9167,0
1.2033,9.9735,0
1.203,9.8673,0
1.2038,9.9166,0
1.2035,9.8433,0
1.2026,9.8065,0
1.2029,9.9432,0
1.2028,9.8916,0
1.203,9.7135,0
1.2027,9.7997,0
1.2034,9.7391,0
1.2034,9.8712,0
1.2032,9.6885,0
1.2038,9.5009,0
1.2033,9.5795,0
1.2034,9.6919,0
1.2029,9.6894,0
1.2025,9.904,0
1.2027,9.7797,0
1.2026,9.6415,0
1.2031,9.5707,0
1.2033,9.7326,0
1.2033,9.8904,0
1.2031,9.9983,0
1.2037,9.8832,0
1.2034,9.6323,0
1.203,9.5931,0
1.203,9.5137,0
1.2029,9.4132,0
1.2034,9.3688,0
1.2035,9.4036,0
1.2035,9.4571,0
1.2035,9.5814,0
1.2034,9.7087,0
1.2033,9.7252,0
1.203,9.9265,0
1.2029,9.9914,0
1.2027,9.9474,0
1.203,9.9715,0
1.2037,10.0281,0
1.2033,10.1065,0
1.2037,10.1017,0
1.2031,10.2227,0
1.2025,10.1148,0
1.2036,10.0034,0
1.2026,9.9931,0
1.2027,10.2258,0
1.203,10.2493,0
1.2028,10.263,0
1.2031,10.1605,0
1.2033,10.2041,0
1.2032,10.0109,0
1.2032,9.9911,0
1.2038,9.9762,0
1.2037,9.9807,0
1.2034,9.8642,0
1.2035,9.972,0
1.2039,9.9303,0
1.2027,10.0767,0
1.2029,10.0596,0
1.2029,10.3001,0
1.2027,10.3526,0
1.2031,10.3751,0
1.2033,10.4195,0
1.203,10.279,0
1.2032,10.2313,0
1.2022,10.1842,0
1.2034,10.1344,0
1.2034,10.1406,0
1.2034,10.174,0
1.2038,10.1338,0
1.2026,10.3079,0
1.2025,10.3299,0
1.2027,10.2461,0
1.2029,10.2048,0
1.2036,10.1471,0
1.2034,10.0217,0
1.2037,10.0628,0
1.2033,10.0669,0
1.2037,9.9829,0
1.2027,9.8693,0
1.2029,9.8341,0
1.2031,9.6991,0
1.2035,9.7819,0
1.2035,9.6967,0
1.2035,9.7632,0
1.2034,9.8022,0
1.203,9.8529,0
1.2034,9.8454,0
1.2029,9.9214,0
1.2027,9.9237,0
1.2026,10.1473,0
1.2036,10.2218,0
1.2035,10.0876,0
1.2036,10.1658,0
1.2024,10.4204,0
1.2026,10.6661,0
1.2025,10.6233,0
1.2023,10.4942,0
1.2029,10.5223,0
1.2032,10.6326,0
1.2033,10.6406,0
1.2038,10.8928,0
1.2036,10.8799,0
1.2033,10.8383,0
1.2029,10.6497,0
1.2025,10.6487,0
1.2029,10.6824,0
1.2032,10.695,0
1.2032,10.8729,0
1.2034,10.8688,0
1.2035,10.7724,0
1.2035,10.5757,0
1.2027,10.5767,0
1.2027,10.5133,0
1.2038,10.4378,0
1.2036,10.2616,0
1.2035,10.2833,0
1.2027,10.2485,0
1.2026,10.2223,0
1.203,10.1561,0
1.2025,10.219,0
1.2037,10.106,0
1.2034,10.082,0
1.2032,10.2114,0
1.2024,10.2523,0
1.2029,10.3796,0
1.2035,10.2771,0
1.2029,10.2724,0
1.2035,10.1859,0
1.2027,10.0622,0
1.2034,10.1616,0
1.2028,10.0725,0
1.2029,10.0021,0
1.2028,9.9633,0
1.2034,9.9059,0
1.2036,9.7491,0
1.2026,9.6168,0
1.2028,9.4468,0
1.2033,9.678,0
1.2034,9.895,0
1.2033,10.2106,0
1.2031,10.2469,0
1.2034,10.3393,0
1.2026,10.5369,0
1.2033,10.5525,0
1.2035,10.3726,0
1.2032,10.2555,0
1.2032,10.1497,0
1.2027,10.1018,0
1.203,10.048,0
1.2031,10.0683,0
1.2034,10.0295,0
1.2034,10.1006,0
1.2035,10.1817,0
1.2039,10.2363,0
